modelo_id,topic_id,eval_1,eval_2,eval_3,eval_4
lda,1,5,5,5,5
lda,2,3,5,5,5
lda,3,4,4,4,4
lda,4,5,5,5,5
lda,5,5,5,4,5
lda,6,2,5,4,3
lda,7,5,5,3,5
lda,8,3,5,2,4
lda,9,4,3,2,3
lda,10,4,5,2,4
lda,11,4,5,5,5
lda,12,5,5,5,5
lda,13,5,5,4,5
lda,14,3,4,2,3
lda,15,4,5,5,5
lda,16,3,5,3,5
lda,17,5,5,5,4
lda,18,5,5,5,5
lda,19,4,5,5,5
lda,20,4,5,5,5
GSDM,1,5,5,5,5
GSDM,2,5,5,3,3
GSDM,3,5,5,5,5
GSDM,4,5,5,5,5
GSDM,5,5,5,5,5
GSDM,6,5,5,5,5
GSDM,7,5,5,5,5
GSDM,8,5,5,3,5
GSDM,9,5,5,5,5
GSDM,10,5,5,5,5
GSDM,11,5,5,3,5
GSDM,12,5,5,3,5
GSDM,13,2,5,3,4
GSDM,14,5,5,4,5
GSDM,15,5,5,5,5
GSDM,16,5,5,5,5
GSDM,17,5,5,4,5
GSDM,18,5,5,5,5
GSDM,19,5,5,5,5
GSDM,20,5,5,5,5
BERTOPIC,1,5,5,5,4
BERTOPIC,2,5,5,3,4
BERTOPIC,3,5,5,5,5
BERTOPIC,4,5,5,5,5
BERTOPIC,5,5,5,5,5
BERTOPIC,6,5,5,5,5
BERTOPIC,7,5,5,5,5
BERTOPIC,8,5,5,5,5
BERTOPIC,9,5,5,5,5
BERTOPIC,10,5,5,5,5
BERTOPIC,11,5,5,2,3
BERTOPIC,12,5,5,5,5
BERTOPIC,13,5,4,4,3
BERTOPIC,14,2,5,1,4
BERTOPIC,15,5,5,5,5
BERTOPIC,16,5,5,5,5
BERTOPIC,17,5,5,5,5
BERTOPIC,18,5,5,5,5
BERTOPIC,19,5,5,3,4
BERTOPIC,20,5,5,5,5
Kmeans_tfidf,1,3,5,2,4
Kmeans_tfidf,2,3,5,3,3
Kmeans_tfidf,3,3,5,3,3
Kmeans_tfidf,4,5,5,5,5
Kmeans_tfidf,5,5,5,4,5
Kmeans_tfidf,6,5,5,5,5
Kmeans_tfidf,7,5,5,3,4
Kmeans_tfidf,8,5,5,4,5
Kmeans_tfidf,9,4,5,4,4
Kmeans_tfidf,10,5,5,5,5
Kmeans_tfidf,11,5,5,3,5
Kmeans_tfidf,12,5,5,5,5
Kmeans_tfidf,13,5,5,5,5
Kmeans_tfidf,14,3,5,5,5
Kmeans_tfidf,15,5,5,3,4
Kmeans_tfidf,16,5,5,5,5
Kmeans_tfidf,17,3,5,2,3
Kmeans_tfidf,18,5,5,5,5
Kmeans_tfidf,19,5,5,5,5
Kmeans_tfidf,20,5,5,5,5
Kmeans_w2v,1,5,5,5,5
Kmeans_w2v,2,5,5,5,5
Kmeans_w2v,3,5,5,5,5
Kmeans_w2v,4,2,4,2,3
Kmeans_w2v,5,5,5,4,5
Kmeans_w2v,6,5,5,5,5
Kmeans_w2v,7,5,5,5,5
Kmeans_w2v,8,5,5,3,3
Kmeans_w2v,9,5,5,5,5
Kmeans_w2v,10,5,5,1,3
Kmeans_w2v,11,5,5,5,5
Kmeans_w2v,12,5,5,5,5
Kmeans_w2v,13,5,5,5,5
Kmeans_w2v,14,5,5,3,4
Kmeans_w2v,15,5,5,4,5
Kmeans_w2v,16,5,5,5,5
Kmeans_w2v,17,5,5,3,5
Kmeans_w2v,18,5,5,5,5
Kmeans_w2v,19,5,5,5,5
Kmeans_w2v,20,5,5,5,5
Aggo_tfidf,1,5,5,5,3
Aggo_tfidf,2,5,5,3,4
Aggo_tfidf,3,5,5,5,4
Aggo_tfidf,4,5,5,5,5
Aggo_tfidf,5,5,5,3,3
Aggo_tfidf,6,5,5,5,5
Aggo_tfidf,7,5,5,5,5
Aggo_tfidf,8,5,5,5,5
Aggo_tfidf,9,5,5,5,4
Aggo_tfidf,10,5,5,5,4
Aggo_tfidf,11,5,5,5,5
Aggo_tfidf,12,5,5,5,5
Aggo_tfidf,13,5,5,5,5
Aggo_tfidf,14,5,5,5,5
Aggo_tfidf,15,5,5,5,5
Aggo_tfidf,16,5,5,5,4
Aggo_tfidf,17,5,5,5,4
Aggo_tfidf,18,5,5,4,4
Aggo_tfidf,19,5,5,5,5
Aggo_tfidf,20,5,5,3,4
Aggo_w2v,1,5,5,5,5
Aggo_w2v,2,5,5,5,5
Aggo_w2v,3,5,5,5,5
Aggo_w2v,4,5,5,5,5
Aggo_w2v,5,5,5,3,3
Aggo_w2v,6,5,5,5,5
Aggo_w2v,7,5,5,5,5
Aggo_w2v,8,5,5,5,5
Aggo_w2v,9,5,5,3,5
Aggo_w2v,10,5,5,5,5
Aggo_w2v,11,5,5,5,5
Aggo_w2v,12,5,5,5,5
Aggo_w2v,13,5,5,5,5
Aggo_w2v,14,5,5,5,5
Aggo_w2v,15,5,5,3,4
Aggo_w2v,16,5,5,5,5
Aggo_w2v,17,5,5,5,5
Aggo_w2v,18,5,5,5,5
Aggo_w2v,19,5,5,5,5
Aggo_w2v,20,5,5,3,4
